"Year","Carrier Name","On Time"
"2012","Frontier Airlines Inc.",77.9345151725443
"2013","Frontier Airlines Inc.",73.0836375178543
"2014","Frontier Airlines Inc.",74.0739874113766
"2015","Frontier Airlines Inc.",73.230877625611
"2016","Frontier Airlines Inc.",76.0168627327299
"2017","Frontier Airlines Inc.",75.286800276434
"2003","Hawaiian Airlines Inc.",90.7674626484485
"2004","Hawaiian Airlines Inc.",93.8660898142563
"2005","Hawaiian Airlines Inc.",95.1269119814042
"2006","Hawaiian Airlines Inc.",93.7534740191287
"2007","Hawaiian Airlines Inc.",93.2870493991989
"2008","Hawaiian Airlines Inc.",89.9670041730017
"2009","Hawaiian Airlines Inc.",92.0611629182666
"2010","Hawaiian Airlines Inc.",92.4743898653343
"2011","Hawaiian Airlines Inc.",92.7839376685646
"2012","Hawaiian Airlines Inc.",93.3813706837226
"2013","Hawaiian Airlines Inc.",93.3195916221675
"2014","Hawaiian Airlines Inc.",91.8883476957662
"2015","Hawaiian Airlines Inc.",88.3981015313614
"2016","Hawaiian Airlines Inc.",91.0794514839365
"2017","Hawaiian Airlines Inc.",82.0886862826357
"2004","Independence Air",77.8826905111437
"2005","Independence Air",78.0221551446239
"2003","JetBlue Airways",86.16626985101
"2004","JetBlue Airways",81.7786138878376
"2005","JetBlue Airways",71.4306297220146
"2006","JetBlue Airways",72.8989546143375
"2007","JetBlue Airways",70.1013319404544
"2008","JetBlue Airways",72.8697390497269
"2009","JetBlue Airways",77.452453482628
"2010","JetBlue Airways",75.6803717346625
"2011","JetBlue Airways",73.344909015141
"2012","JetBlue Airways",79.1308675607712
"2013","JetBlue Airways",74.4359471744624
"2014","JetBlue Airways",75.4258229105341
"2015","JetBlue Airways",75.9664929151314
"2016","JetBlue Airways",75.0068148106191
"2017","JetBlue Airways",72.5574682147178
"2006","Mesa Airlines Inc.",73.329198986757
"2007","Mesa Airlines Inc.",73.0980901067393
"2008","Mesa Airlines Inc.",72.9537520103558
"2009","Mesa Airlines Inc.",79.1285718967099
