"","year","carrier_name","Category","Value"
"101","2003","ExpressJet Airlines Inc.","Carrier Delay",2.81658490584966
"102","2003","ExpressJet Airlines Inc.","On Time",78.4908859261043
"103","2003","ExpressJet Airlines Inc.","Security Delay",0.0518403707827971
"104","2003","ExpressJet Airlines Inc.","Late Arrival",4.63966051704939
"105","2003","ExpressJet Airlines Inc.","National Avaiation System Delay",11.1801747574763
"106","2003","Frontier Airlines Inc.","Carrier Delay",0
"107","2003","Frontier Airlines Inc.","On Time",0
"108","2003","Frontier Airlines Inc.","Late Arrival",0
"109","2003","Frontier Airlines Inc.","Cancelled / Diverted",0
"110","2003","Frontier Airlines Inc.","National Avaiation System Delay",0
"111","2003","Frontier Airlines Inc.","Security Delay",0
"112","2003","Frontier Airlines Inc.","Weather Delay",0
"113","2003","Hawaiian Airlines Inc.","On Time",90.7674626484485
"114","2003","Hawaiian Airlines Inc.","National Avaiation System Delay",0.172519473885838
"115","2003","Hawaiian Airlines Inc.","Carrier Delay",6.24058230111097
"116","2003","Hawaiian Airlines Inc.","Weather Delay",0.0697228961818414
"117","2003","Hawaiian Airlines Inc.","Cancelled / Diverted",0.498020687013153
"118","2003","Hawaiian Airlines Inc.","Security Delay",0.0624441322947261
"119","2003","Hawaiian Airlines Inc.","Late Arrival",2.18886476822883
"120","2003","Independence Air","On Time",0
"121","2003","Independence Air","Late Arrival",0
"122","2003","Independence Air","Cancelled / Diverted",0
"123","2003","Independence Air","Carrier Delay",0
"124","2003","Independence Air","Weather Delay",0
"125","2003","Independence Air","Security Delay",0
"126","2003","Independence Air","National Avaiation System Delay",0
"127","2003","JetBlue Airways","On Time",86.16626985101
"128","2003","JetBlue Airways","Late Arrival",3.45617436979946
"129","2003","JetBlue Airways","Weather Delay",0.306448049876046
"130","2003","JetBlue Airways","Carrier Delay",3.96303478068776
"131","2003","JetBlue Airways","National Avaiation System Delay",5.27726369014015
"132","2003","JetBlue Airways","Cancelled / Diverted",0.473724258118357
"133","2003","JetBlue Airways","Security Delay",0.357330453351661
"134","2003","Mesa Airlines Inc.","Cancelled / Diverted",0
"135","2003","Mesa Airlines Inc.","On Time",0
"136","2003","Mesa Airlines Inc.","Late Arrival",0
"137","2003","Mesa Airlines Inc.","Carrier Delay",0
"138","2003","Mesa Airlines Inc.","National Avaiation System Delay",0
"139","2003","Mesa Airlines Inc.","Weather Delay",0
"140","2003","Mesa Airlines Inc.","Security Delay",0
"141","2003","Northwest Airlines Inc.","On Time",82.5491003982969
"142","2003","Northwest Airlines Inc.","Weather Delay",0.912645927757176
"143","2003","Northwest Airlines Inc.","National Avaiation System Delay",7.9422950144211
"144","2003","Northwest Airlines Inc.","Late Arrival",2.02506180469716
"145","2003","Northwest Airlines Inc.","Carrier Delay",5.17824474660074
"146","2003","Northwest Airlines Inc.","Security Delay",0.0453543469303667
"147","2003","Northwest Airlines Inc.","Cancelled / Diverted",1.34734239802225
"148","2003","Pinnacle Airlines Inc.","On Time",0
"149","2003","Pinnacle Airlines Inc.","Late Arrival",0
"150","2003","Pinnacle Airlines Inc.","Cancelled / Diverted",0
"151","2003","Pinnacle Airlines Inc.","Carrier Delay",0
